№;ЛД;ФИО;Статус;Приориетет;Рейтинг;Факультет;Форма обучения;Период обучения;Срок обучения;Курс;Код Специальности;Специальность;Образовательный уровень;Комиссия;Тип док. об обр.;Серия;Номер;Ср. балл;Награды;Оригинал;Коментарии;Бюджет;Общий конкурс;Целевой конкурс;Дата создания;Тех. секретарь;Unnamed: 27
35305;12039БС;Петрова Ольга Семеновна;В приказ;Первый;64,16;Пединститут;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика дошкольного образования);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1910080;4,04;без отличия;да;;да;да;нет;03.07.2019 15:40;Чебышева Алина Владимировна;
35306;4199У;Андреева Марина Ивановна;Допущено;Первый;87,92;Экономфак;очная;Ускоренный;3 года 00 мес.;1 (первый) курс;54.03.01;Дизайн;Бакалавриат;СПО;Диплом о среднем профессиональном образовании;227-СС3;64;3,94;без отличия;да;;нет;да;нет;03.07.2019 15:42;Гурова Екатерина Геннадьевна;
35308;4199У;Андреева Марина Ивановна;В приказ;Второй;87,92;Экономфак;заочная;Ускоренный;3 года 00 мес.;1 (первый) курс;54.03.01;Дизайн;Бакалавриат;СПО;Диплом о среднем профессиональном образовании;227-СС3;64;3,94;без отличия;да;;нет;да;нет;03.07.2019 15:43;Гурова Екатерина Геннадьевна;
35307;3160М;Кириллович Кондрат Терентиeвич;В приказ по квоте;Первый;75,56;Истфак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;46.04.01;История;Магистратура;Магистры;Диплом бакалавра;022019;2138;82,8;без отличия;да;;да;нет;нет;03.07.2019 15:43;Разумный Виталий Витальевич;
35309;12040БС;Семенович Ксения Андреeвна;В приказ;Первый;93,9;Филфак;очная;Нормативный;5 лет 00 мес.;1 (первый) курс;37.05.02;Психология служебной деятельности;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1905591;4,45;без отличия;да;;да;да;нет;03.07.2019 15:44;Гороховская Виктория  Владимировна;
35310;12040БС;Семенович Ксения Андреeвна;Отклонено;Второй;93,9;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1905591;4,45;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:45;Гороховская Виктория  Владимировна;
35311;12041БС;Николаенко Серафима Владимировна;В приказ;Первый;92,7;Филфак;заочная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1701193;5;без отличия;да;;нет;да;нет;03.07.2019 15:45;Джуха Виктория Викторовна;
35312;12042БС;Иванов Николай Борисович;Отклонено;Первый;99,1;Экономфак;очная;Нормативный;5 лет 00 мес.;1 (первый) курс;38.05.01;Экономическая безопасность;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1900169;4,95;серебряная медаль;нет;Отказался от участия в конкурсе;да;нет;нет;03.07.2019 15:45;Ялунер Алина Феликсовна;
35314;12042БС;Иванов Николай Борисович;Отклонено;Второй;99,1;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.01;Экономика (Профиль: Экономика предприятий);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1900169;4,95;серебряная медаль;нет;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:46;Ялунер Алина Феликсовна;
35313;12043БС;Трофименко Мария Дмитриeвна;Отчислен;Первый;76,14;ИФКС;очная;Нормативный;4 года 00 мес.;1 (первый) курс;49.03.01;Физическая культура (Профиль: Физкультурное образование);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1905787;85,2;без отличия;да;;да;да;нет;03.07.2019 15:45;Ляшенко Елизавета Романова;
35315;12044БС;Александровская Лилия Андреeвна;В приказ;Первый;89,92;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1905616;4,73;без отличия;да;;да;да;нет;03.07.2019 15:46;Калмыкова  Дарья Андреевна;
35318;12044БС;Александровская Лилия Андреeвна;Отклонено;Второй;89,92;Филфак;очная;Нормативный;5 лет 00 мес.;1 (первый) курс;37.05.02;Психология служебной деятельности;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1905616;4,73;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:49;Калмыкова  Дарья Андреевна;
35316;3161М;Ивановский Владимир Николаeвич;В приказ;Первый;87,99;Экономфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;54.04.01;Дизайн;Магистратура;Магистры;Диплом бакалавра;022019;3699;92,45;с отличием;да;;да;да;нет;03.07.2019 15:47;Дубан Анна Игоревна;
35317;4200У;Борисенко Инна Александровна;В приказ;Первый;70,72;Пединститут;заочная;Ускоренный;3 года 00 мес.;1 (первый) курс;44.03.02;Психолого-педагогическое образование;Бакалавриат;СПО;Диплом о среднем профессиональном образовании;223-СС3;244;3,89;без отличия;да;;да;да;нет;03.07.2019 15:49;Лазурченко Елена Константиновна;
35319;3162М;Терентиев Терентий Кириллович;В приказ;Первый;62,79;Юрфак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;40.04.01;Юриспруденция;Магистратура;Магистры;Диплом бакалавра;BD;218010153;73,94;без отличия;да;;да;да;нет;03.07.2019 15:49;Тимофеева Ирина Николаевна;
35321;3163М;Серафимович Петр Кириллович;В приказ;Первый;98,41;Экономфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;54.04.01;Дизайн;Магистратура;Магистры;Диплом бакалавра;022019;3695;93,04;с отличием;да;;да;да;нет;03.07.2019 15:52;Тоцкая Оксана Алексеевна;
35322;3164М;Кондратович Тамара Андреeвна;В приказ;Первый;78,26;Учфин;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;38.04.01;Экономика (Профиль: Учет и аудит);Магистратура;Магистры;Диплом бакалавра;022019;3760;91,3;с отличием;да;;да;да;нет;03.07.2019 15:55;Ковалев Артур Викторович;
35323;3164М;Кондратович Тамара Андреeвна;Отклонено;Второй;78,26;Учфин;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.01;Экономика (Профиль: Учет и аудит);Магистратура;Магистры;Диплом бакалавра;022019;3760;91,3;с отличием;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 15:56;Ковалев Артур Викторович;
35324;4201У;Борисович Иннокентий Дмитриeвич;В приказ;Первый;65,92;Пединститут;заочная;Ускоренный;3 года 00 мес.;1 (первый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика дошкольного образования);Бакалавриат;СПО;Диплом о среднем профессиональном образовании;238-ССЗ;194;3,74;без отличия;да;;да;да;нет;03.07.2019 15:57;Чебышева Алина Владимировна;
35325;12045БС;Андреенко Яна Ивановна;Отклонено;Первый;89,36;Филфак;очная;Нормативный;5 лет 00 мес.;1 (первый) курс;37.05.02;Психология служебной деятельности;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1904750;4,39;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;03.07.2019 15:58;Рязанова Валерия Александровна;
35328;12045БС;Андреенко Яна Ивановна;Отклонено;Второй;89,36;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1904750;4,39;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;03.07.2019 15:59;Рязанова Валерия Александровна;
35332;12045БС;Андреенко Яна Ивановна;Отклонено;Третий;89,36;Филфак;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;37.05.02;Психология служебной деятельности;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1904750;4,39;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;03.07.2019 16:02;Рязанова Валерия Александровна;
35331;3165М;Александренко Александр Трофимович;В приказ;Второй;64,57;Филфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;45.04.01;Филология (Профиль: Русский язык: теоретические и практические аспекты);Магистратура;Магистры;Диплом бакалавра;022019;2449;77,85;без отличия;да;;да;да;нет;03.07.2019 16:02;Савельева Лилия Ивановна;
35326;3165М;Александренко Александр Трофимович;Аннулировано;Первый;64,57;Филфак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;45.04.01;Филология (Профиль: Русский язык: теоретические и практические аспекты);Магистратура;Магистры;Диплом бакалавра;022019;2449;77,85;без отличия;да;;да;да;нет;03.07.2019 15:59;Савельева Лилия Ивановна;
35327;4202У;Трофимовская Анастасия Трофимовна;В приказ;Первый;72,12;ИФКС;очная;Ускоренный;2 года 00 мес.;1 (первый) курс;49.03.01;Физическая культура (Профиль: Спортивная тренировка);Бакалавриат;СПО;Диплом о среднем профессиональном образовании;216-СС3;905;70,8;без отличия;нет;;да;да;нет;03.07.2019 15:59;Маншилина Ольга Александровна;
40758;4202У;Трофимовская Анастасия Трофимовна;В приказ;Второй;83,52;ИФКС;заочная;Ускоренный;4 года 00 мес.;1 (первый) курс;49.03.02;Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура);Бакалавриат;СПО;Диплом о среднем профессиональном образовании;216-СС3;905;70,8;без отличия;нет;;нет;да;нет;02.09.2019 10:17;Ляшенко Елизавета Романова;
35330;3166М;Серафимова Ирина Глебовна;В приказ по квоте;Первый;85,8;ФИЯ;очная;Нормативный;2 года 00 мес.;1 (первый) курс;45.04.02;Лингвистика (Профиль: Лингвистика и межкультурная коммуникация (английский язык));Магистратура;Магистры;Диплом бакалавра;022019;2509;89;без отличия;да;;да;нет;нет;03.07.2019 16:01;Голуб Ольга Вячеславовна;
35333;3167М;Кирилловский Игнат Петрович;В приказ;Первый;80,43;Экономфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.02;Менеджмент;Магистратура;Магистры;Диплом бакалавра;022019;1721;77,14;без отличия;да;;да;да;нет;03.07.2019 16:02;Тоцкая Оксана Алексеевна;
35334;12046БС;Степаненко Серафим Владимирович;Отклонено;Первый;104,3;Физтех;очная;Нормативный;4 года 00 мес.;1 (первый) курс;03.03.02;Физика;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДАО;1900035;5;золотая медаль;нет;Отказался от участия в конкурсе;да;да;нет;03.07.2019 16:07;Джанджгава Карина Геннадиевна;
35338;12046БС;Степаненко Серафим Владимирович;Отклонено;Второй;104,3;Физтех;очная;Нормативный;4 года 00 мес.;1 (первый) курс;16.03.01;Техническая физика;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДАО;1900035;5;золотая медаль;нет;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 16:09;Джанджгава Карина Геннадиевна;
35335;12047БС;Иннокентиевский Иннокентий Александрович;В приказ;Первый;70,34;УНИЭК;заочная;Нормативный;4 года 6 мес.;1 (первый) курс;38.03.05;Бизнес-информатика;Бакалавриат;Бакалавры/Специалисты;Диплом о среднем профессиональном образовании;ЕТ;975364;4,36;без отличия;да;;да;да;нет;03.07.2019 16:07;Мызникова Мария Александровна;
35337;12047БС;Иннокентиевский Иннокентий Александрович;Отклонено;Второй;70,34;УНИЭК;заочная;Нормативный;4 года 6 мес.;1 (первый) курс;27.03.05;Инноватика;Бакалавриат;Бакалавры/Специалисты;Диплом о среднем профессиональном образовании;ЕТ;975364;4,36;без отличия;да;Отказался от участия в конкурсе;да;да;нет;03.07.2019 16:09;Мызникова Мария Александровна;
35336;12048БС;Алексеевич Иван Глебович;В приказ;Первый;105,4;Юрфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДАО;1900437;5;золотая медаль;да;;да;да;нет;03.07.2019 16:08;Виндилович Елена Александровна;
35341;12048БС;Алексеевич Иван Глебович;Отклонено;Второй;105,4;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.04;Государственное и муниципальное управление;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДАО;1900437;5;золотая медаль;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 16:12;Виндилович Елена Александровна;
35339;12049БС;Иванова Людмила Андреeвна;В приказ;Первый;88,04;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1903316;4,16;без отличия;да;;да;нет;нет;03.07.2019 16:09;Гороховская Виктория  Владимировна;
35340;3168М;Николаева Фаина Петровна;В приказ;Первый;83,13;Экономфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.02;Менеджмент (Профиль: Маркетинг);Магистратура;Магистры;Диплом бакалавра;022019;2966;85,63;без отличия;да;;да;да;нет;03.07.2019 16:11;Дубан Анна Игоревна;
35342;3169М;Глебенко Вера Терентиeвна;Отказ;Первый;34,39;Экономфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.01;Экономика (Профиль: Экономика предприятий);Магистратура;Магистры;Диплом бакалавра;022019;2586;81,95;без отличия;нет;Не явилась на вступительное испытание по профильному предмету;да;да;нет;03.07.2019 16:12;Тоцкая Оксана Алексеевна;
35343;3169М;Глебенко Вера Терентиeвна;Отказ;Второй;34,39;Экономфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.02;Менеджмент (Профиль: Маркетинг);Магистратура;Магистры;Диплом бакалавра;022019;2586;81,95;без отличия;нет;Не явилась на вступительное испытание по профильному предмету;да;да;нет;03.07.2019 16:14;Тоцкая Оксана Алексеевна;
35344;12050БС;Игнатовский Семен Кириллович;В приказ;Первый;83,6;Филфак;заочная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.01;Филология (Профиль: Русский язык и литература);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;НК;47864078;5;без отличия;нет;;нет;да;нет;03.07.2019 16:16;Джуха Виктория Викторовна;
35346;12050БС;Игнатовский Семен Кириллович;Отклонено;Второй;83,6;Филфак;заочная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.01;Филология (Профиль: Славянская филология);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;НК;47864078;5;без отличия;нет;Отказался от участия в конкурсе;нет;да;нет;03.07.2019 16:16;Джуха Виктория Викторовна;
35345;3170М;Иннокентиенко Иван Терентиeвич;В приказ;Первый;69,18;Учфин;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.01;Экономика (Профиль: Экономическая теория);Магистратура;Магистры;Диплом бакалавра;022019;2733;80,92;без отличия;да;;да;да;нет;03.07.2019 16:16;Моисеева Анна Владиславовна;
35347;12051БС;Андреенко Владимир Кондратович;Аннулировано;Первый;67,52;Пединститут;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;44.03.01;Педагогическое образование (Профиль: Педагогика и методика дошкольного образования);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;НК;45840376;4,13;без отличия;да;;да;да;нет;03.07.2019 16:23;Чебышева Алина Владимировна;
35349;12051БС;Андреенко Владимир Кондратович;В приказ;Второй;73,52;Пединститут;заочная;Нормативный;5 лет 00 мес.;1 (первый) курс;44.03.03;Специальное (дефектологическое) образование;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;НК;45840376;4,13;без отличия;да;;да;да;нет;03.07.2019 16:24;Чебышева Алина Владимировна;
35348;3171М;Алексеевич Николай Глебович;В приказ;Первый;94,74;Учфин;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.01;Экономика (Профиль: Экономическая теория);Магистратура;Магистры;Диплом бакалавра;022019;2732;87,22;без отличия;да;;да;да;нет;03.07.2019 16:23;Ковалев Артур Викторович;
35350;3172М;Александрович Татьяна Кондратовна;В приказ;Первый;67,99;Филфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;45.04.01;Филология (Профиль: Исторические и теоретические аспекты изучения русской литературы);Магистратура;Магистры;Диплом бакалавра;022019;2341;84,97;без отличия;да;;да;да;нет;03.07.2019 16:29;Дьяконенко М. А.;
35354;3172М;Александрович Татьяна Кондратовна;Отклонено;Второй;67,99;Филфак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;45.04.01;Филология (Профиль: Исторические и теоретические аспекты изучения русской литературы);Магистратура;Магистры;Диплом бакалавра;022019;2341;84,97;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 16:32;Дьяконенко М. А.;
35351;3173М;Иннокентиенко Яна Андреeвна;В приказ;Первый;65,93;Экономфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.02;Менеджмент (Профиль: Маркетинг);Магистратура;Магистры;Диплом бакалавра;022019;2969;77,13;без отличия;да;;да;да;нет;03.07.2019 16:30;Дубан Анна Игоревна;
35352;3173М;Иннокентиенко Яна Андреeвна;Отказ;Второй;33,43;Экономфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.02;Менеджмент;Магистратура;Магистры;Диплом бакалавра;022019;2969;77,13;без отличия;да;Абитуриент не явился на вступительное испытание;да;да;нет;03.07.2019 16:31;Дубан Анна Игоревна;
35353;3173М;Иннокентиенко Яна Андреeвна;Отклонено;Третий;65,93;Экономфак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;38.04.02;Менеджмент (Профиль: Маркетинг);Магистратура;Магистры;Диплом бакалавра;022019;2969;77,13;без отличия;да;Отказался от участия в конкурсе;нет;да;нет;03.07.2019 16:32;Дубан Анна Игоревна;
35355;12052БС;Кирилленко Наталья Борисовна;В приказ;Первый;100,04;УНИЭК;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.05;Бизнес-информатика;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1910615;4,96;серебряная медаль;да;;да;да;нет;03.07.2019 16:39;Мызникова Мария Александровна;
35356;12052БС;Кирилленко Наталья Борисовна;Отклонено;Второй;99,54;ФИЯ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.02;Лингвистика (Профиль: Перевод и переводоведение) (английский язык);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1910615;4,96;серебряная медаль;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;03.07.2019 16:41;Мызникова Мария Александровна;
35357;12053БС;Степановский Глеб Александрович;В приказ по квоте;Первый;75,68;ФИЯ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.02;Лингвистика (Профиль: Перевод и переводоведение) (английский язык);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;НК;51131023;4,34;без отличия;да;;да;нет;нет;04.07.2019 9:10;Гранкина Кристина Викторовна;
35358;3174М;Тимофеев Кондрат Иванович;Отказ;Первый;80,27;Экономфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.01;Экономика (Профиль: Международная экономика);Магистратура;Магистры;Диплом бакалавра;022019;3549;91,34;с отличием;да;Заявление абитуриента;да;да;нет;04.07.2019 9:11;Дубан Анна Игоревна;
35360;3174М;Тимофеев Кондрат Иванович;Отказ;Второй;70,27;Экономфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.02;Менеджмент (Профиль: Маркетинг);Магистратура;Магистры;Диплом бакалавра;022019;3549;91,34;с отличием;да;оценка ниже минимального уровня;да;да;нет;04.07.2019 9:13;Дубан Анна Игоревна;
35359;3175М;Ивановский Иван Серафимович;В приказ;Первый;64,85;Учфин;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;38.04.08;Финансы и кредит;Магистратура;Магистры;Диплом бакалавра;022019;2650;84,26;без отличия;да;;да;да;нет;04.07.2019 9:11;Моисеева Анна Владиславовна;
35361;3176М;Трофимова Анастасия Трофимовна;В приказ;Первый;79,04;Юрфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;40.04.01;Юриспруденция;Магистратура;Магистры;Диплом бакалавра;022019;1982;77,7;без отличия;да;;да;да;нет;04.07.2019 9:17;Сенина Ирина Антоновна;
35362;3176М;Трофимова Анастасия Трофимовна;Отклонено;Второй;79,04;Юрфак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;40.04.01;Юриспруденция;Магистратура;Магистры;Диплом бакалавра;022019;1982;77,7;без отличия;да;Отказался от участия в конкурсе;да;да;нет;04.07.2019 9:19;Сенина Ирина Антоновна;
35363;3177М;Дмитриев Андрей Игнатович;В приказ;Первый;116,94;Юрфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;40.04.01;Юриспруденция;Магистратура;Магистры;Диплом бакалавра;022019;3603;94,7;с отличием;да;;да;да;нет;04.07.2019 9:24;Бочарова Оксана Игоревна;
35364;3177М;Дмитриев Андрей Игнатович;Отклонено;Второй;116,94;Юрфак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;40.04.01;Юриспруденция;Магистратура;Магистры;Диплом бакалавра;022019;3603;94,7;с отличием;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;04.07.2019 9:25;Бочарова Оксана Игоревна;
35365;4203У;Андреева Просковья Дмитриeвна;В приказ;Первый;89,56;ФДиПО;очная;Ускоренный;3 года 00 мес.;1 (первый) курс;44.03.04;Профессиональное обучение (Профиль: Охрана труда);Бакалавриат;СПО;Диплом о среднем профессиональном образовании;217-ССЗ;519;4,22;без отличия;да;;да;да;нет;04.07.2019 9:26;Любущенко Наталья Юрьевна;
35366;3178М;Глебовский Петр Николаeвич;Отчислен;Первый;87,23;Филфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;45.04.01;Филология (Профиль: Украинский язык и литература);Магистратура;Магистры;Диплом бакалавра;022019;3826;91,14;с отличием;да;;да;да;нет;04.07.2019 9:27;Савельева Лилия Ивановна;
35368;3178М;Глебовский Петр Николаeвич;Отклонено;Второй;71,23;Филфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;45.04.01;Филология (Профиль: Русский язык: теоретические и практические аспекты);Магистратура;Магистры;Диплом бакалавра;022019;3826;91,14;с отличием;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;04.07.2019 9:30;Савельева Лилия Ивановна;
35367;12054БС;Борисовский Серафим Серафимович;В приказ по квоте;Первый;81,44;ФИЯ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.02;Лингвистика (Профиль: Перевод и переводоведение) (английский язык);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;;2304000097978;87,2;без отличия;да;;да;нет;нет;04.07.2019 9:28;Вербицкая Анжелика Алексеевна;
35369;12055БС;Глебовская Ксения Борисовна;В приказ;Первый;86,5;Биофак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;06.03.01;Биология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1902835;4,3;без отличия;да;;да;да;нет;04.07.2019 9:32;Морозова Екатерина Игоревна;
35372;12055БС;Глебовская Ксения Борисовна;Отклонено;Второй;86,5;Филфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;37.03.01;Психология;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1902835;4,3;без отличия;да;Отклонено в связи с рекомендацией по старшему приоритету;да;да;нет;04.07.2019 9:33;Морозова Екатерина Игоревна;
35370;3179М;Игнатовская Галина Терентиeвна;В приказ;Первый;83,57;Экономфак;очная;Нормативный;2 года 00 мес.;1 (первый) курс;38.04.02;Менеджмент (Профиль: Маркетинг);Магистратура;Магистры;Диплом бакалавра;022019;2970;77,86;без отличия;да;;да;да;нет;04.07.2019 9:32;Тоцкая Оксана Алексеевна;
35371;3180М;Иннокентиевская Анастасия Александровна;Отказ;Первый;16,97;Пединститут;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;44.04.01;Педагогическое образование (Профиль: Педагогика и методика начального образования);Магистратура;Магистры;Диплом бакалавра;132019;10328;84,86;без отличия;нет;не явилась на профильный экзамен;да;да;нет;04.07.2019 9:33;Фоменко Виктория Викторовна;
35381;3180М;Иннокентиевская Анастасия Александровна;Отказ;Второй;16,97;ФДиПО;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;44.04.01;Педагогическое образование (Профиль: Управление учебным заведением);Магистратура;Магистры;Диплом бакалавра;132019;10328;84,86;без отличия;нет;Отказ от участия в конкурсе;да;да;нет;04.07.2019 9:39;Фоменко Виктория Викторовна;
35373;12056БС;Петрович Марина Дмитриeвна;Отклонено;Первый;93,04;Учфин;очная;Нормативный;5 лет 00 мес.;1 (первый) курс;38.05.02;Таможенное дело;Специалитет;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1903301;4,91;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;04.07.2019 9:36;Манчева Инесса Константиновна;
35380;12056БС;Петрович Марина Дмитриeвна;Отклонено;Второй;85,54;Учфин;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.01;Экономика (Профиль: Учет и аудит);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1903301;4,91;без отличия;нет;Отказался от участия в конкурсе;да;да;нет;04.07.2019 9:38;Манчева Инесса Константиновна;
35375;3181М;Тимофеенко Кирилл Александрович;В приказ;Первый;74;Истфак;заочная;Нормативный;2 года 6 мес.;1 (первый) курс;46.04.01;История;Магистратура;Магистры;Диплом бакалавра;0022019;2143;77,51;без отличия;да;;нет;да;нет;04.07.2019 9:36;Монастырная Наталья Владимировна;
35376;12057БС;Игнатенко Софья Терентиeвна;В приказ;Первый;87,6;Юрфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;40.03.01;Юриспруденция;Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1901185;4,5;без отличия;да;;да;да;нет;04.07.2019 9:37;Беляева Марина Анатольевна;
35377;12058БС;Дмитриевич Степан Иванович;В приказ;Первый;94,1;ФИЯ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.01;Филология (Профиль: Зарубежная филология (английский язык и литература));Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1903311;4,65;без отличия;да;;да;да;нет;04.07.2019 9:37;Грибань Татьяна Александровна;
35378;12058БС;Дмитриевич Степан Иванович;Отклонено;Второй;94,1;ФИЯ;очная;Нормативный;4 года 00 мес.;1 (первый) курс;45.03.02;Лингвистика (Профиль: Перевод и переводоведение) (английский язык);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1903311;4,65;без отличия;да;Отказался от участия в конкурсе;да;да;нет;04.07.2019 9:38;Грибань Татьяна Александровна;
35379;12059БС;Кирилленко Вероника Петровна;В приказ;Первый;94,4;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.01;Экономика (Профиль: Экономика предприятий);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1901812;5;без отличия;да;;да;да;нет;04.07.2019 9:38;Васина Лариса Юрьевна;
35383;12059БС;Кирилленко Вероника Петровна;Аннулировано;Второй;94,4;Экономфак;очная;Нормативный;4 года 00 мес.;1 (первый) курс;38.03.01;Экономика (Профиль: Международная экономика);Бакалавриат;Бакалавры/Специалисты;Аттестат о среднем общем образовании;ДА;1901812;5;без отличия;да;;да;да;нет;04.07.2019 9:40;Васина Лариса Юрьевна;
